,milo_f1-score,meld_f1-score,cna_f1-score,daseq_f1-score,rra_f1-score,milo_precision,meld_precision,cna_precision,daseq_precision,rra_precision,milo_recall,meld_recall,cna_recall,daseq_recall,rra_recall
pos0.8_neg0.2_cond0_11_remove_0.h5ad,0.9141456542188893,0.8919208099024476,0.5264017651923701,0.8643904377303199,0.8191979664821623,0.9165241673035394,0.8434132447540783,0.6773039572391492,0.9140736583189343,0.7765107418904433,0.9155843256371928,0.9882166240148678,0.7748959291698685,0.8483100067074915,0.9703994675135003
pos0.8_neg0.2_cond0_11_remove_3.h5ad,0.9286215122225002,0.882568365935512,0.5255407304926439,0.8298016773682638,0.8476777017979233,0.945282248026226,0.8355898929925694,0.6787992840901008,0.934592022993328,0.8015274427171715,0.9137884914078055,0.982961687179419,0.7720947845133512,0.787706553893918,0.9736290979196215
pos0.8_neg0.2_cond0_11_remove_6.h5ad,0.9063238617253022,0.893749011357767,0.5348529566338462,0.9145432301524413,0.7944650467644515,0.9059739380732633,0.8483369067698844,0.6778112690699118,0.9721054455449957,0.7610507628288091,0.9102957544210598,0.9836248574090166,0.7778479717408399,0.8701918048482812,0.9593093077001686
pos0.8_neg0.2_cond0_11_remove_9.h5ad,0.8722527067787645,0.8024541164164897,0.5547461902095896,0.9085278632013264,0.8192727413492887,0.9283371789100351,0.7700066205712663,0.6650177976149395,0.8889384358820779,0.7806392650509641,0.829138717824743,0.9572796096674777,0.7955543161601737,0.9325214994336207,0.9486238520005115
pos0.8_neg0.2_cond1_2_remove_0.h5ad,0.8622030537004096,0.7747145465534998,0.7327339237229781,0.8823362041092119,0.920852924680437,0.9342781977220659,0.7265232890087107,0.6925994773340127,0.9512057647043267,0.9321350745306988,0.8113574742783545,0.8797428017929891,0.869532835498533,0.8325107960642214,0.9110427841332944
pos0.8_neg0.2_cond1_2_remove_3.h5ad,0.8434940265887226,0.7765435467089694,0.7187544629191488,0.8828479533202441,0.9156740258688197,0.9344294255808933,0.729819260198192,0.677330092406842,0.9530521580641679,0.9318360231335167,0.7856453976277026,0.8650985647469583,0.8592553878355922,0.8323997089910878,0.9009785639611211
pos0.8_neg0.2_cond1_2_remove_6.h5ad,0.8217650915576241,0.7748990443342203,0.6908795260434563,0.8686997873955299,0.9109501849838866,0.9262461098956613,0.7282582599997749,0.6530123753909528,0.9481045895378727,0.9244609766974916,0.760653491504954,0.8586411390496421,0.8464793670513157,0.8191695548369794,0.898380613724
pos0.8_neg0.2_cond1_2_remove_9.h5ad,0.7206637291449666,0.7832690697857819,0.6352743546974449,0.7333924875109347,0.8634344183116639,0.9055344514502518,0.7529527802766424,0.6079885766560744,0.9091732336511837,0.8705480843187038,0.6558583033921669,0.8299416920154722,0.8110209545933257,0.6842333857239095,0.8588280993039925
pos0.8_neg0.2_cond1_3_remove_0.h5ad,0.8718606664604914,0.40057530451915263,0.6539577655470711,0.9054409722759348,0.9095568158180861,0.9433573309734912,0.5485438188592524,0.6393520193788297,0.9538539139294677,0.8930708391489913,0.8191883518633523,0.3475095667069555,0.8627727087605616,0.866557639103353,0.9303512996286942
pos0.8_neg0.2_cond1_3_remove_3.h5ad,0.8564986787936034,0.7436457403935407,0.645735555764879,0.8673287642167469,0.9170976779001566,0.946949231913199,0.6864321833479593,0.6264726944841454,0.966541290320377,0.9129581533373653,0.7944319576709633,0.8869341395307816,0.8564633496273492,0.8021924987056365,0.9214997812494409
